organism_name,NO,compound
Streptomyces lusitanus,0,naphthyridinomycin
Nocardia uniformis subsp. tsuyamanensis,0,nocardicin A
Nostoc sp. 73.1,0,nodularin
Nostoc sp. ATCC 53789,0,nostocyclopeptide A2
Pseudomonas sp. CMR12a,0,orfamide B
Pseudomonas protegens Pf-5,0,orfamide A
Pseudomonas protegens Pf-5,1,orfamide C
Paenibacillus sp. OSY-SE,0,paenibacterin
Paenibacillus elgii B69,0,paenibactin
Paenibacillus larvae subsp. larvae DSM 25430,0,paenilarvins
Paenibacillus elgii,0,pelgipeptin
Penicillium chrysogenum,0,penicillin
Penicillium chrysogenum,0,δ-(L-α-aminoadipyl)-L-cysteine-D-valine
Penicillium chrysogenum,1,isopenicillin N
Penicillium chrysogenum,2,benzylpenicillin
Penicillium chrysogenum,3,phenoxymethylpenicillin
Streptomyces viridochromogenes,0,phosphinothricintripeptide
Bacillus subtilis subsp. subtilis,0,plipastatin
Paenibacillus polymyxa,0,polymyxin
Streptomyces albus subsp. albus,0,porothramycin A
Pseudomonas fluorescens,0,pseudomonine
Pseudomonas putida,0,putisolvin
Pseudomonas aeruginosa PAO1,0,pyochelin
Pseudomonas protegens Pf-5,0,pyoverdin
Streptomyces melanovinaceus,0,quinocarcin
Streptomyces griseovariabilis subsp. bandungensis,0,quinomycin
Xenorhabdus nematophila ATCC 19061,0,rhabdopeptide 1
Xenorhabdus nematophila ATCC 19061,1,rhabdopeptide 2
Xenorhabdus nematophila ATCC 19061,2,rhabdopeptide 3
Xenorhabdus nematophila ATCC 19061,3,rhabdopeptide 4
Rhodococcus jostii RHA1,0,rhodochelin
Amycolatopsis lurida,0,ristocetin
Amycolatopsis japonica,0,ristomycin A
Penicillium rubens Wisconsin 54-1255,0,histidyltryptophanyldiketopiperazine
Penicillium rubens Wisconsin 54-1255,1,dehydrohistidyltryptophanyldiketopiperazine
Penicillium rubens Wisconsin 54-1255,2,roquefortine D
Penicillium rubens Wisconsin 54-1255,3,roquefortine C
Penicillium rubens Wisconsin 54-1255,4,glandicoline A
Penicillium rubens Wisconsin 54-1255,5,glandicoline B
Penicillium rubens Wisconsin 54-1255,6,meleagrine
Pseudomonas fluorescens,0,safracin A
Pseudomonas fluorescens,1,safracin B
Streptomyces lavendulae,0,saframycin A
Streptomyces lavendulae,1,saframycin B
Streptomyces scabiei 87.22,0,scabichelin
Herbaspirillum seropedicae SmR1,0,serobactin C
Herbaspirillum seropedicae SmR1,1,serobactin B
Herbaspirillum seropedicae SmR1,2,serobactin A
Pseudomonas sp. CMR12a,0,sessilin A
Paenibacillus larvae,0,sevadicin
Trichormus variabilis ATCC 29413,0,shinorine
Trichormus variabilis ATCC 29413,1,4-deoxygadusol
Trichormus variabilis ATCC 29413,2,mycosporine glycine
Streptosporangium sibiricum,0,sibiromycin
Streptomyces sp. Acta 2897,0,RP-1776
Nodularia spumigena CCY9414,0,spumigin E
Streptomyces filamentosus NRRL 15998,0,stenothricin
Streptomyces rochei,0,streptothricin
Bacillus velezensis FZB42,0,surfactin
Streptomyces sp. SNA15896,0,SW-163C
Streptomyces sp. SNA15896,1,UK-63598
Streptomyces sp. SNA15896,2,SW-163E
Streptomyces sp. SNA15896,3,SW-163F
Streptomyces sp. SNA15896,4,SW-163G
Pseudomonas syringae pv. tomato str. DC3000,0,syringafactin
Rhizobium sp. AP16,0,syringolin A
Pseudomonas syringae pv. syringae B728a,0,syringomycin
Pseudomonas syringae pv. syringae,0,syringopeptin 25A
Saccharomonospora sp. CNQ490,0,taromycin A
Actinoplanes teichomyceticus,0,teicoplanin
Actinoplanes teichomyceticus,0,teicoplanin
Aspergillus nidulans FGSC A4,0,terrequinone A
Pseudomonas sp. SHC52,0,thanamycin
Streptomyces turgidiscabies Car8,0,thaxtomin A
Micromonospora sp. ML1,0,thiocoraline
Klebsiella oxytoca,0,tilivalline
Klebsiella oxytoca,1,9-deoxy tilivalline
Klebsiella oxytoca,2,dihydroxy tilivalline
Klebsiella oxytoca,3,dehydro tilivalline
Klebsiella oxytoca,4,dihydroxy-dehydro tilivalline
Pseudomonas costantinii,0,tolaasin I
Pseudomonas costantinii,1,tolaasin F
Streptomyces achromogenes,0,tomaymycin
Paenibacillus terrae,0,tridecaptin
Streptomyces triostinicus,0,triostin A
Teredinibacter turnerae T7901,0,turnerbactin
Brevibacillus brevis NBRC 100599,0,tyrocidine
Streptomyces tsusimaensis,0,valinomycin
Vibrio anguillarum RV22,0,vanchrobactin
Amycolatopsis orientalis HCCB10007,0,vancomycin
Rhizobium etli CFN 42,0,vicibactin
Streptomyces vinaceus,0,viomycin
Streptomyces griseoviridis,0,griseoviridin
Streptomyces griseoviridis,1,fijimycin A
Vibrio vulnificus CMCP6,0,vulnibactin
Lysobacter enzymogenes,0,WAP-8294A2
Pseudomonas putida,0,xantholysin A
Pseudomonas putida,1,xantholysin B
Pseudomonas putida,2,xantholysin C
Xenorhabdus doucetiae,0,xenoamicin A
Xenorhabdus doucetiae,1,xenoamicin B
Xenorhabdus nematophila ATCC 19061,0,xenortide A
Xenorhabdus nematophila ATCC 19061,1,xenortide B
Xenorhabdus nematophila ATCC 19061,2,xenortide C
Xenorhabdus nematophila ATCC 19061,3,xenortide D
Streptomyces sp. TP-A2060,0,yatakemycin
Yersinia enterocolitica,0,yersiniabactin
Streptomyces bottropensis,0,bottromycin A2
Streptomyces sp. BC16019,0,bottromycin A2
Streptomyces sp. WMMB 272,0,bottromycin D
Oscillatoria nigro-viridis PCC 7112,0,viridisamide A
Anabaena sp. 90,0,anacyclamide A10
Microcystis aeruginosa NIES-298,0,microcyclamide
Microcystis aeruginosa PCC 7806,0,microcyclamide
Prochloron didemni,0,patellamide A
Prochloron didemni,1,patellamide C
uncultured Prochloron sp.,0,patellamide B
uncultured Prochloron sp. 06037A,0,patellin 2
uncultured Prochloron sp. 06037A,1,patellin 3
uncultured Prochloron sp.,0,patellin 6
uncultured Prochloron sp.,1,trunkamide
Planktothrix agardhii NIES-596,0,prenylagaramide B
Planktothrix agardhii NIES-596,1,prenylagaramide C
Nostoc spongiaeforme var. tenue str. Carmeli,0,tenuecyclamide A
Nostoc spongiaeforme var. tenue str. Carmeli,1,tenuecyclamide C
Trichodesmium erythraeum IMS101,0,trichamide
uncultured Prochloron sp.,0,trunkamide
Microcystis aeruginosa PCC 9432,0,aeruginosamide B
Microcystis aeruginosa PCC 9432,1,aeruginosamide C
Lactobacillus plantarum,0,glycocin F
Lactobacillus acidophilus,0,acidocin B
Butyrivibrio fibrisolvens,0,butyrivibriocin AR10
Carnobacterium maltaromaticum,0,carnocyclin
Clostridium beijerinckii,0,circularin A
Enterococcus faecalis,0,enterocin AS-48
Lactococcus garvieae DCC43,0,garvicin ML
Lactobacillus gasseri,0,gassericin A
Lactococcus sp. QU 12,0,lactocyclicin Q
Leuconostoc mesenteroides,0,leucocyclicin Q
Streptococcus uberis,0,uberolysin
Actinoplanes garbadinensis,0,actagardine
Streptomyces griseus subsp. griseus NBRC 13350,0,AmfS
Streptococcus ratti,0,BHT-Aα
Streptococcus ratti,1,BHT-Aβ
Streptococcus equinus,0,bovicin HJ50
Butyrivibrio fibrisolvens,0,butyrivibriocin OR79
Carnobacterium maltaromaticum,0,carnolysin A1
Carnobacterium maltaromaticum,1,carnolysin A2
Catenulispora acidiphila DSM 44928,0,catenulipeptin
Bacillus cereus,0,cerecidin
Bacillus cereus,1,cerecidin A1
Bacillus cereus,2,cerecidin A2
Bacillus cereus,3,cerecidin A3
Bacillus cereus,4,cerecidin A4
Bacillus cereus,5,cerecidin A5
Bacillus cereus,6,cerecidin A6
Bacillus cereus,7,cerecidin A7
Streptomyces cinnamoneus,0,cinnamycin
Plasmid pAD1,0,cytolysin ClyLl
Plasmid pAD1,1,cytolysin ClyLs
Enterococcus faecalis,0,enterocin W α
Enterococcus faecalis,1,enterocin W β
Bacillus subtilis subsp. spizizenii,0,entianin
Staphylococcus epidermidis,0,epicidin
Staphylococcus epidermidis,0,epidermin
Staphylococcus epidermidis,0,epilancin 15x
Staphylococcus epidermidis,0,epilancin K7
Bacillus subtilis,0,ericin S
Saccharopolyspora erythraea NRRL 2338,0,Ery-9
Saccharopolyspora erythraea NRRL 2338,1,Ery-6
Saccharopolyspora erythraea NRRL 2338,2,Ery-8
Saccharopolyspora erythraea NRRL 2338,3,Ery-7
Saccharopolyspora erythraea NRRL 2338,4,Ery-5
Saccharopolyspora erythraea NRRL 2338,5,Ery-4
Saccharopolyspora erythraea NRRL 2338,6,Ery-3
Staphylococcus gallinarum,0,gallidermin
Geobacillus thermodenitrificans NG80-2,0,geobacillin I
Geobacillus thermodenitrificans,0,geobacillin II
Bacillus halodurans C-125,0,haloduracin β
Bacillus halodurans C-125,1,haloduracin α
Streptomyces viridochromogenes DSM 40736,0,informatipeptin
Actinomadura namibiensis,0,labyrinthopeptin A2
Actinomadura namibiensis,1,labyrinthopeptin A1
Actinomadura namibiensis,2,labyrinthopeptin A3
Lactococcus lactis,0,lacticin 3147 A1
Lactococcus lactis,1,lacticin 3147 A2
Lactococcus lactis subsp. lactis,0,lacticin 481
Lactococcus lactis,0,lacticin Z
Lactobacillus sakei,0,lactocin S
Bacillus licheniformis,0,lichenicidin VK21 A1
Bacillus licheniformis,1,lichenicidin VK21 A2
Streptococcus macedonicus,0,macedocin
Bacillus sp. HIL-Y85/54728,0,mersacidin
Clavibacter michiganensis subsp. michiganensis NCPPB 382,0,michiganin A
Microbispora corallina,0,microbisporicin A2
Streptococcus mutans N66,0,mutacin B-Ny266
Streptococcus mutans,0,mutacin I
Streptococcus mutans,0,mutacin II
Streptococcus mutans,0,mutacin III
Streptococcus mutans,0,mutacin K8
Lactococcus lactis subsp. lactis,0,nisin A
Lactococcus lactis,0,nisin Q
Streptococcus uberis,0,nisin U
Lactococcus lactis,0,nisin Z
Staphylococcus warneri,0,nukacin ISK-1
Paenibacillus polymyxa OSY-DF,0,paenibacillin
Paenibacillus polymyxa,0,paenicidin A
Paenibacillus terrae,0,paenicidin B
Staphylococcus epidermidis,0,pep5
Planomonospora alba,0,planosporicin
[Ruminococcus] gnavus E1,0,ruminococcin A
Streptomyces albidoflavus,0,SAL-2242
Streptococcus salivarius,0,salivaricin 9
Streptococcus salivarius,0,salivaricin A
Streptococcus salivarius,0,salivaricin D
Streptococcus salivarius,0,salivaricin G32
Streptomyces coelicolor A3(2),0,SapB
Streptococcus mutans,0,SmbA
Streptococcus mutans,1,SmbB
Streptomyces filamentosus NRRL 15998,0,SRO15-2212
Streptomyces filamentosus NRRL 15998,0,SRO15-3108
Staphylococcus aureus,0,staphylococcin C55 α
Staphylococcus aureus,1,staphylococcin C55 β
Streptococcus pyogenes,0,streptin
Streptococcus pyogenes,0,streptococcin A-FF22
Bacillus subtilis subsp. subtilis str. 168,0,sublancin 168
Bacillus subtilis subsp. spizizenii ATCC 6633,0,subtilin
Bacillus subtilis,0,subtilomycin
Streptococcus thermophilus,0,thermophilin 1277
Kocuria varians,0,variacin
Streptomyces venezuelae ATCC 10712,0,venezuelin
Clostridium botulinum A str. ATCC 3502,0,clostridiolysin S
Streptomyces sp. TP-A0584,0,goadsporin
Streptococcus pyogenes M1 GAS,0,streptolysin S
Rhizobium leguminosarum,0,trifolitoxin
Escherichia coli,0,microcin B17
Bacillus velezensis FZB42,0,plantazolicin
Asticcacaulis excentricus CB 48,0,astexin-1
Paraburkholderia rhizoxinica HKI 454,0,burhizin
Burkholderia thailandensis E444,0,capistruin
Caulobacter sp. K31,0,caulonodin I
Caulobacter sp. K31,1,caulonodin II
Caulobacter segnis ATCC 21756,0,caulosegnin I
Caulobacter segnis ATCC 21756,1,caulosegnin II
Caulobacter segnis ATCC 21756,2,caulosegnin III
Rhodococcus jostii,0,lariatin
Rubrivivax gelatinosus IL144,0,rubrivinodin
Sphingobium japonicum UT26S,0,sphingonodin II
Streptomyces filamentosus NRRL 15998,0,SRO15-2005
Streptomyces sviceus ATCC 29083,0,SSV-2083
Xanthomonas gardneri ATCC 19865,0,xanthomonin I
Xanthomonas gardneri ATCC 19865,1,xanthomonin II
Escherichia coli,0,microcin J25
Streptomyces sp. OH-4156,0,cypemycin
Streptomyces griseus subsp. griseus NBRC 13350,0,grisemycin
Escherichia coli,0,colicin V
Escherichia coli,0,microcin C7
Klebsiella pneumoniae RYC492,0,microcin E492
Escherichia coli,0,microcin H47
Escherichia coli,0,microcin L
Escherichia coli Nissle 1917,0,microcin M
Escherichia coli,0,microcin N
Alteromonas sp. B-10-31,0,marinostatin
Microcystis aeruginosa NIES-298,0,microviridin B
Microcystis aeruginosa MRC,0,microviridin J
Planktothrix agardhii NIVA-CYA 126/8,0,microviridin K
Streptomyces coelicolor A3(2),0,SCO-2138
Streptomyces lividans TK24,0,SLI-2138
Streptomyces sp. e14,0,SWA-2138
Streptomyces diastatochromogenes Tü6028,0,polytheonamide A
Streptomyces diastatochromogenes Tü6028,1,polytheonamide B
Bacillus thuringiensis,0,thuricin CD α
Bacillus thuringiensis,1,thuricin CD β
Bacillus thuringiensis,0,thurincin H
Bacillus subtilis subsp. subtilis str. 168,0,sporulation killing factor
Bacillus subtilis subsp. spizizenii ATCC 6633,0,subtilosin A
Streptomyces hygroscopicus,0,cyclothiazomycin
Nonomuraea sp. WU8817,0,GE2270A
Streptomyces sp. ATCC 55365,0,GE37468
Streptomyces lactacystinaeus,0,lactazole
Macrococcus caseolyticus,0,micrococcin P1
Actinokineospora fastidiosa,0,nocathiacin
Nocardia sp. ATCC 202099,0,nocathiacin
Streptomyces actuosus,0,nosiheptide
Streptomyces sioyaensis,0,siomycin A
Bacillus cereus ATCC 14579,0,thiocillin I
Nonomuraea sp. Bp3714-39,0,thiomuracin A
Streptomyces laurentii,0,thiostrepton
Nocardiopsis sp. TFS65-07,0,TP-1161
Bacillus velezensis FZB42,0,amylocyclicin
Bacillus coagulans,0,coagulin
Enterococcus faecium DO,0,enterocin A
Lactobacillus gasseri,0,gassericin T
Lactococcus lactis,0,lacticin Q
Escherichia coli,0,linaclotide
Bacillus megaterium,0,megacin
Lactobacillus plantarum,0,plantaricin W α
Lactobacillus plantarum,1,plantaricin W β
Lactobacillus salivarius,0,salivaricin CRL1328 α peptide
Lactobacillus salivarius,1,salivaricin CRL1328 β peptide
Streptomyces olivoviridis,0,thioviridamide
Bacillus thuringiensis,0,thuricin
Aspergillus flavus NRRL3357,0,ustiloxin B
Lactobacillus paragasseri JV-V03,0,lactocillin
Paracoccus haeundaensis,0,"(2R,3S,3'S)-2-hydroxyastaxanthin"
Botrytis cinerea B05.10,0,botrydial
Nocardia terpenica,0,brasilicardin A
Streptomyces avermitilis,0,carotenoid
Brevundimonas sp. SD212,0,carotenoid
Paracoccus sp. N81106,0,carotenoid
Brevibacterium linens,0,carotenoid
Corynebacterium glutamicum,0,carotenoid
Pantoea ananatis,0,carotenoid
Enterobacteriaceae bacterium DC260,0,carotenoid
Enterobacteriaceae bacterium DC404,0,carotenoid
Enterobacteriaceae bacterium DC416,0,carotenoid
Enterobacteriaceae bacterium DC413,0,carotenoid
Brevundimonas vesicularis,0,carotenoid
Dietzia sp. CQ4,0,carotenoid
Halobacillus halophilus DSM 2266,0,carotenoid
uncultured bacterium,0,β-carotein
Rhodobacter sphaeroides,0,carotenoid
Myxococcus xanthus,0,carotenoid
Streptomyces griseus subsp. griseus NBRC 13350,0,carotenoid
Algoriphagus sp. KK10202C,0,carotenoid
Streptomyces argenteolus,0,KS-505a
Streptomyces sp. CNQ525,0,napyradiomycin
Streptomyces arenae,0,pentalenolactone
Streptomyces sp. Tu6071,0,phenalinolactone A
Streptomyces sioyaensis,0,siomycin
Xanthobacter autotrophicus Py2,0,zeaxanthin
Pseudanabaena sp. dqh15,0,2-methylisoborneol
Streptomyces griseus subsp. griseus NBRC 13350,0,2-methylisoborneol
Saccharopolyspora erythraea NRRL 2338,0,2-methylisoborneol
Streptomyces coelicolor A3(2),0,albaflavenone
Nostoc punctiforme PCC 73102,0,geosmin
Streptomyces griseus subsp. griseus NBRC 13350,0,grixazone
Streptomyces coelicolor A3(2),0,hopene
Streptomyces griseus subsp. griseus NBRC 13350,0,isorenieratene
Streptomyces sp. HKI0576,0,xiamycin
Streptomyces sp. SCSIO 02999,0,xiamycin A
Penicillium roqueforti FM164,0,PR-toxin
Hapalosiphon welwitschii UTEX B 1830,0,12-epi-hapalindole C isonitrile
Hapalosiphon welwitschii UTEX B 1830,1,12-epi-hapalindole E
Hapalosiphon welwitschii UTEX B 1830,2,12-epi-fischerindole U isonitrile
Hapalosiphon welwitschii UTEX B 1830,3,fischerindole L
Hapalosiphon welwitschii UTEX B 1830,4,12-epi-fischerindole I isonitrile
Hapalosiphon welwitschii UTEX B 1830,5,welwitindolinone A isonitrile
Hapalosiphon welwitschii UTEX B 1830,6,welwitindolinone B isothiocyanate
Hapalosiphon welwitschii UTEX B 1830,7,welwitindolinone C isothiocyanate
Hapalosiphon welwitschii UTEX B 1830,8,N-methylwelwitindolinone C isothiocyanate
Hapalosiphon welwitschii UTEX B 1830,9,N-methylwelwitinsolinone C isonitrile
Hapalosiphon welwitschii UTEX B 1830,10,3-epi-welwitindolinone B isothiocyanate
Hapalosiphon welwitschii UTEX B 1830,11,3-(Z-2'-isocyanoethenyl)-indole
Arabidopsis thaliana,0,marneral
Arabidopsis thaliana,0,thalianol
Arabidopsis thaliana,1,thaliandiol
Oryza sativa Japonica Group,0,momilactone
Oryza sativa Japonica Group,0,phytocassane
Oryza sativa Japonica Group,1,oryzalides
Aspergillus nidulans FGSC A4,0,"pimara-8(14),15-diene"
Streptomyces clavuligerus ATCC 27064,0,(-)-δ-cadinene
Streptomyces clavuligerus ATCC 27064,0,(+)-T-muurolol
Phoma betae,0,aphidicolin
Phoma betae,1,aphidicolan-16β-ol
Phoma betae,2,3-deoxyaphidicolin
Phoma betae,3,17-deoxyaphidicolin
Streptomyces melanosporofaciens,0,cyclooctatin
Streptomyces avermitilis MA-4680 = NBRC 14893,0,pentalenolactone
Micromonospora sp. M42,0,diazepinomicin
Aspergillus terreus NIH2624,0,terretonin
Streptomyces avermitilis MA-4680 = NBRC 14893,0,avermitilol
Aspergillus nidulans FGSC A4,0,asperthecin
Alternaria brassicicola ATCC 96836,0,brassicicene C
Aspergillus fumigatus Af293,0,helvolic acid
Diaporthe amygdali,0,phyllocladan-16α-ol
Diaporthe amygdali,0,copalyl diphosphate
Micromonospora echinospora,0,2-deoxystreptamine
Streptomyces glaucescens,0,hydroxystreptomycin
Actinoplanes sp. SE50/110,0,acarbose
Streptoalloteichus hindustanus,0,apramycin
Bacillus circulans,0,butirosin A
Bacillus circulans,1,butirosin B
Bacillus circulans,0,butirosin
Micromonospora olivasterospora,0,fortimicin
Micromonospora echinospora,0,gentamicin
Streptomyces hygroscopicus,0,hygromycin A
Streptomyces hygroscopicus subsp. hygroscopicus,0,hygromycin A
Streptomyces tenjimariensis,0,istamycin
Streptomyces hygroscopicus subsp. yingchengensis,0,jinggangmycin
Streptomyces kanamyceticus,0,kanamycin
Streptomyces kanamyceticus,0,kanamycin
Streptomyces kanamyceticus,0,kanamycin
Streptomyces kanamyceticus,0,kanamycin
Streptomyces kanamyceticus,0,kanamycin
Streptomyces kasugaensis,0,kasugamycin
Streptomyces lividus,0,lividomycin
Streptomyces fradiae ATCC 10745 = DSM 40063,0,neomycin
Streptomyces fradiae,0,neomycin
Streptomyces rimosus subsp. paromomycinus,0,paromomycin
Streptomyces ribosidificus,0,ribostamycin
Micromonospora inyonensis,0,sisomicin
Streptomyces spectabilis,0,actinospectacin
Streptomyces netropsis,0,spectinomycin
Streptoalloteichus hindustanus,0,tobramycin
Streptoalloteichus tenebrarius,0,tobramycin
Streptoalloteichus tenebrarius,0,tobramycin
Streptomyces hygroscopicus subsp. jinggangensis,0,validamycin A
Streptomyces hygroscopicus subsp. limoneus,0,β-D-galactosylvalidoxylamine-A
Streptomyces griseus subsp. griseus NBRC 13350,0,streptomycin
Pseudomonas aeruginosa PAO1,0,alginate
Streptomyces aureofaciens,0,indigoidine
Klebsiella pneumoniae subsp. ozaenae,0,capsular polysaccharide
Klebsiella pneumoniae,0,capsular polysaccharide
Klebsiella pneumoniae,0,capsular polysaccharide
Klebsiella pneumoniae,0,capsular polysaccharide
Raoultella planticola,0,capsular polysaccharide
Klebsiella pneumoniae,0,capsular polysaccharide
Pasteurella multocida,0,capsular polysaccharide
Pasteurella multocida,0,capsular polysaccharide
Mannheimia haemolytica,0,capsular polysaccharide
Pasteurella multocida,0,capsular polysaccharide
Pasteurella multocida,0,capsular polysaccharide
Pasteurella multocida,0,capsular polysaccharide
Streptococcus agalactiae,0,capsular polysaccharide
Streptococcus agalactiae,0,capsular polysaccharide
Streptococcus agalactiae,0,capsular polysaccharide
Streptococcus agalactiae,0,capsular polysaccharide
Streptococcus agalactiae,0,capsular polysaccharide
Streptococcus agalactiae,0,capsular polysaccharide
Streptococcus agalactiae,0,capsular polysaccharide
Streptococcus agalactiae,0,capsular polysaccharide
Streptococcus agalactiae,0,capsular polysaccharide
Escherichia coli,0,capsular polysaccharide
Actinobacillus pleuropneumoniae,0,capsular polysaccharide
Actinobacillus pleuropneumoniae serovar 6 str. Femo,0,capsular polysaccharide
Actinobacillus pleuropneumoniae,0,capsular polysaccharide
Avibacterium paragallinarum,0,capsular polysaccharide
Avibacterium paragallinarum 221,0,capsular polysaccharide
Avibacterium paragallinarum,0,capsular polysaccharide
Avibacterium paragallinarum,0,capsular polysaccharide
Staphylococcus aureus,0,capsular polysaccharide
Sphingomonas sp. ATCC 53159,0,diutan polysaccharide
Acinetobacter venetianus RAG-1 = CIP 110063,0,emulsan
Methylobacillus sp. 12S,0,exopolysaccharide
Rhizobium leguminosarum bv. viciae,0,exopolysaccharide
Pantoea stewartii subsp. stewartii DC283,0,stewartan
Lactococcus lactis,0,exopolysaccharide
Lactobacillus johnsonii,0,exopolysaccharide
Lactobacillus johnsonii,0,exopolysaccharide
Lactobacillus johnsonii,0,exopolysaccharide
Sphingomonas elodea ATCC 31461,0,gellan polysaccharide
Mycobacterium avium subsp. hominissuis A5,0,glycopeptidolipid
Campylobacter jejuni,0,lipo-oligosaccharide
Brucella melitensis,0,lipopolysaccharide
Escherichia coli,0,lipopolysaccharide
Xanthomonas campestris pv. campestris,0,lipopolysaccharide
Legionella pneumophila,0,lipopolysaccharide
Escherichia coli,0,lipopolysaccharide
Escherichia coli,0,lipopolysaccharide
Aeromonas piscicola,0,lipopolysaccharide
Aeromonas piscicola,0,lipopolysaccharide
Vibrio parahaemolyticus,0,O&K-antigen
Pseudomonas aeruginosa,0,O-antigen
Burkholderia pseudomallei 1026b,0,O-antigen
Xanthomonas oryzae pv. oryzae,0,O-antigen
Pseudomonas aeruginosa,0,O-antigen
Burkholderia mallei,0,O-antigen
Edwardsiella ictaluri 93-146,0,O-antigen
Escherichia coli,0,O-antigen
Salmonella enterica subsp. salamae serovar Greenside,0,O-antigen
Escherichia coli,0,O-antigen
Escherichia coli,0,O-antigen
Cronobacter sakazakii,0,O-antigen
Enterococcus faecalis OG1RF,0,polysaccharide
Salmonella enterica subsp. arizonae,0,lipopolysaccharide oligosaccharide
Geobacillus stearothermophilus,0,S-layer glycan
Aneurinibacillus thermoaerophilus,0,S-layer glycan
Paenibacillus alvei,0,S-layer glycan
Sphingomonas sp. S88,0,sphingan polysaccharide
Sorghum bicolor,0,dhurrin
Escherichia coli,0,colanic acid
Xanthomonas campestris,0,xanthan
Sinorhizobium meliloti,0,galactoglucan
Sinorhizobium meliloti,0,succinoglycan
Lactobacillus rhamnosus GG,0,GG exopolysaccharide
Streptomyces coelicoflavus ZG0656,0,acarviostatin I03
Streptomyces coelicoflavus ZG0656,1,acarviostatin II03
Streptomyces coelicoflavus ZG0656,2,acarviostatin III03
Streptomyces coelicoflavus ZG0656,3,acarviostatin IV03
Streptomyces viridosporus ATCC 14672,0,moenomycin
Glycomyces sp. NRRL B-16210,0,phosphonoglycans
Stackebrandtia nassauensis DSM 44728,0,phosphonoglycans
Actinomadura melliaura,0,AT2433-A1
Zea mays,0,benzoxazinone DIMBOA
Aspergillus fumigatus Af293,0,fumigaclavine C
Shiraia sp. slf14,0,huperzine A
Nonomuraea longicatena,0,K-252a
Nonomuraea longicatena,0,K-252a
Epichloe uncinata,0,loline
Malbranchea aurantiaca,0,malbrancheamide A
uncultured bacterium,0,methylarcyriarubin
Aspergillus versicolor,0,notoamide A
Penicillium fellutanum,0,paraherquamide
Streptomyces griseofuscus,0,physostigmine
Lechevalieria aerocolonigenes,0,rebeccamycin
Lechevalieria aerocolonigenes,0,rebeccamycin
Lechevalieria aerocolonigenes,0,rebeccamycin
Streptomyces sp. TP-A0274,0,staurosporine
Streptomyces clavuligerus ATCC 27064,0,staurosporine
Salinispora arenicola CNS-205,0,staurosporine
Chromobacterium violaceum,0,violacein
uncultured bacterium,0,violacein
Duganella sp. B2,0,violacein
Streptomyces roseochromogenus subsp. oscitans DS 12.976,0,clorobiocin
Streptomyces rishiriensis,0,coumermycin A1
Streptomyces niveus,0,cathomycin
Streptomyces antibioticus,0,simocyclinone
Escherichia coli CFT073,0,APE Ec
Aliivibrio fischeri ES114,0,APE Vf
Flavobacterium johnsoniae UW101,0,flexirubin
Chitinophaga pinensis DSM 2588,0,flexirubin
Xanthomonas oryzae pv. oryzae,0,xanthomonadin I
Streptomyces clavuligerus ATCC 27064,0,alanylclavam
Streptomyces clavuligerus ATCC 27064,1,2-hydroxymethylclavam
Streptomyces clavuligerus ATCC 27064,2,2-formyloxymethylclavam
Streptomyces clavuligerus ATCC 27064,3,clavam-2-carboxylate
Streptomyces clavuligerus ATCC 27064,4,clavulanic acid
Streptomyces argenteolus,0,carbapenem MM4550
Streptomyces clavuligerus ATCC 27064,0,alanylclavam
Streptomyces clavuligerus ATCC 27064,1,2-hydroxymethylclavam
Streptomyces clavuligerus ATCC 27064,2,2-formyloxymethylclavam
Streptomyces clavuligerus ATCC 27064,3,clavam-2-carboxylate
Streptomyces clavuligerus,0,clavulanic acid
Streptomyces clavuligerus ATCC 27064,0,clavulanic acid
Pseudomonas syringae,0,tabtoxin
Streptomyces cattleya,0,thienamycin
Streptomyces griseus subsp. griseus NBRC 13350,0,A-factor
Streptomyces coelicolor A3(2),0,SCB1
Streptomyces coelicolor A3(2),1,SCB2
Streptomyces coelicolor A3(2),2,SCB3
Streptomyces acidiscabies,0,γ-butyrolactone
Streptomyces noursei ATCC 11455,0,albonoursin
Sporosarcina pasteurii,0,ectoine
Streptomyces anulatus,0,ectoine
Methylomicrobium alcaliphilum 20Z,0,ectoine
Methylomicrobium kenyense,0,ectoine
Methylophaga thalassica,0,ectoine
Methylophaga alcalica,0,ectoine
Methylobacter marinus,0,ectoine
Methylomicrobium alcaliphilum,0,ectoine
Methylarcula marina,0,ectoine
Shewanella sp. BR-2,0,eicosapentaenoic acid
Shewanella pneumatophori,0,eicosapentaenoic acid
Pseudoalteromonas sp. DS-12,0,eicosapentaenoic acid
Moritella marina ATCC 15381,0,eicosapentaenoic acid-like compound
Photobacterium profundum SS9,0,eicoseicosapentaenoic acid
Burkholderia sp. DSM 9242,0,polyhydroxyalkanoate
Ectothiorhodospira shaposhnikovii,0,polyhydroxyalkanoic acids
Bacillus subtilis subsp. subtilis str. 168,0,teichuronic acid
Nostoc sp. 'Peltigera membranacea cyanobiont',0,heterocyst glycolipids
Mycobacterium tuberculosis H37Rv,0,mycolic acid
Myxococcus xanthus DK 1622,0,VEPE
Myxococcus xanthus DK 1622,1,AEPE
Myxococcus xanthus DK 1622,2,TG-1
Streptomyces sp. SANK 60405,0,A-90289 A
Streptomyces sp. SANK 60405,1,A-90289 B
Saccharothrix mutabilis subsp. capreolus,0,A-201A
