,compounds,ncbi_tax_id,organism_name,file
714,"[{'chem_struct': 'CCCCCCCCCCCCCCC(=O)N[C@@H](CCCN)C(=O)N[C@@H](C(C)C)C(=O)N[C@H]1[C@H](OC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H]2CCCN2C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC1=O)CCCN)CO)C(C)C)CCCCN)CO)[C@@H](C)CC)C(C)C)CCCCN)[C@@H](C)CC)C', 'compound': 'paenibacterin', 'database_id': ['pubchem:78319277'], 'mol_mass': 1604.1004361799996, 'molecular_formula': 'C79H145N17O17'}]",1196323,Paenibacillus sp. OSY-SE,mibig_json_2.0/BGC0000400.json
723,[{'compound': 'paenibactin'}],1007103,Paenibacillus elgii B69,mibig_json_2.0/BGC0000401.json
1064,[{'compound': 'paenilarvins'}],697284,Paenibacillus larvae subsp. larvae DSM 25430,mibig_json_2.0/BGC0000402.json
1322,[{'compound': 'pelgipeptin'}],189691,Paenibacillus elgii,mibig_json_2.0/BGC0000403.json
1429,"[{'chem_struct': 'CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)CC3=CC=CC=C3)C(=O)[O-])C.[Na+]', 'compound': 'penicillin', 'database_id': ['pubchem:23668834'], 'mol_mass': 356.080672304, 'molecular_formula': 'C16H17N2NaO4S'}]",5076,Penicillium chrysogenum,mibig_json_2.0/BGC0000404.json
1902,"[{'chem_struct': 'CC(C)[C@@H](NC(=O)[C@H](CS)NC(=O)CCC[C@H]([NH3+])C([O-])=O)C([O-])=O', 'chem_synonyms': ['acv'], 'compound': 'δ-(L-α-aminoadipyl)-L-cysteine-D-valine', 'database_id': ['chebi:58572'], 'mol_mass': 362.1391300679099, 'molecular_formula': 'C14H24N3O6S-'}, {'chem_acts': ['Antibacterial'], 'chem_struct': '[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)CCC[C@H](N)C(O)=O)C(O)=O', 'chem_synonyms': ['ipn'], 'chem_targets': [{'target': 'cell wall synthesis'}], 'compound': 'isopenicillin N', 'database_id': ['chebi:18165'], 'mol_mass': 359.1151063919999, 'molecular_formula': 'C14H21N3O6S'}, {'chem_acts': ['Antibacterial'], 'chem_struct': '[Na+].[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)Cc1ccccc1)C([O-])=O', 'chem_synonyms': ['penicillin g'], 'chem_targets': [{'target': 'cell wall biosynthesis'}], 'compound': 'benzylpenicillin', 'database_id': ['chebi:51765'], 'mol_mass': 356.08067230399996, 'molecular_formula': 'C16H17N2NaO4S'}, {'chem_acts': ['Antibacterial'], 'chem_synonyms': ['penicillin v'], 'chem_targets': [{'target': 'cell wall biosynthesis'}], 'compound': 'phenoxymethylpenicillin', 'database_id': ['chembl:615'], 'mol_mass': 350.4, 'molecular_formula': 'C16H18N2O5S'}]",5076,Penicillium chrysogenum,mibig_json_2.0/BGC0000405.json
133,"[{'chem_acts': ['Antibacterial'], 'chem_moieties': [{'moiety': 'phosphino-group'}], 'chem_struct': 'CP(=O)(CCC(C(=O)[O-])[NH3+])[O-]', 'chem_synonyms': ['phosphinothricin', 'bialaphos', 'glufosinate', 'basta'], 'chem_targets': [{'target': 'glutamine synthetase'}], 'compound': 'phosphinothricintripeptide', 'database_id': ['pubchem:25244585'], 'mol_mass': 180.04311804191, 'molecular_formula': 'C5H11NO4P-'}]",1938,Streptomyces viridochromogenes,mibig_json_2.0/BGC0000406.json
357,"[{'chem_struct': 'CCCCCCCCCCCCCC(CC(=O)NC(CCC(=O)O)C(=O)NC(CCCN)C(=O)NC1CC2=CC=C(C=C2)OC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C3CCCN3C(=O)C(NC(=O)C(NC(=O)C(NC1=O)C(C)O)CCC(=O)O)C)CCC(=O)N)CC4=CC=C(C=C4)O)C(C)CC)O', 'compound': 'plipastatin', 'database_id': ['pubchem:5491283'], 'mol_mass': 1462.7959339199995, 'molecular_formula': 'C72H110N12O20'}]",135461,Bacillus subtilis subsp. subtilis,mibig_json_2.0/BGC0000407.json
1578,"[{'chem_struct': 'CCC(C)CCCCC(=O)NC(CCN)C(=O)NC(C(C)O)C(=O)NC(CCN)C(=O)NC1CCNC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC1=O)CCN)CC2=CC=CC=C2)CC(C)C)CCN)CCN)C(C)O.OS(=O)(=O)O', 'compound': 'polymyxin', 'database_id': ['pubchem:5702105'], 'mol_mass': 1300.7173067399995, 'molecular_formula': 'C56H100N16O17S'}]",1406,Paenibacillus polymyxa,mibig_json_2.0/BGC0000408.json
1770,"[{'chem_struct': 'COC1=CC=CC2=C1NC(O)C1CC(C=CC(=O)N(C)C)=CN1C2=O', 'compound': 'porothramycin A', 'database_id': ['npatlas:7051'], 'mol_mass': 343.15320615200005, 'molecular_formula': 'C18H21N3O4'}]",67257,Streptomyces albus subsp. albus,mibig_json_2.0/BGC0000409.json
82,"[{'chem_struct': 'CC1ON(CCC2=CNC=N2)C(=O)C1NC(=O)C1=CC=CC=C1O', 'chem_synonyms': ['Pseudomonine', '172923-94-3', 'AC1L42N0', 'DTXSID30938246', '2-hydroxy-N-[2-[2-(1H-imidazol-5-yl)ethyl]-5-methyl-3-oxo-1,2-oxazolidin-4-yl]benzamide', '2-hydroxy-N-{2-[2-(1H-imidazol-4-yl)ethyl]-5-methyl-3-oxo-1,2-oxazolidin-4-yl}benzamide', '2-Hydroxy-N-{2-[2-(1H-imidazol-5-yl)ethyl]-5-methyl-3-oxo-1,2-oxazolidin-4-yl}benzene-1-carboximidic acid'], 'compound': 'pseudomonine', 'database_id': ['npatlas:14034'], 'mol_mass': 330.13280505599994, 'molecular_formula': 'C16H18N4O4'}]",294,Pseudomonas fluorescens,mibig_json_2.0/BGC0000410.json
403,[{'compound': 'putisolvin'}],303,Pseudomonas putida,mibig_json_2.0/BGC0000411.json
1484,"[{'chem_struct': '[H][C@@]1(CSC(=N1)C1=CC=CC=C1O)[C@@]1([H])SC[C@H](N1C)C(O)=O', 'compound': 'pyochelin', 'database_id': ['npatlas:13123', 'pubchem:5462518'], 'mol_mass': 324.06023437199997, 'molecular_formula': 'C14H16N2O3S2'}]",208964,Pseudomonas aeruginosa PAO1,mibig_json_2.0/BGC0000412.json
1855,"[{'chem_struct': 'NC(=O)CCC(NC(=O)C(CCCN(O)C=O)NC(=O)C1CCN=C(N1)C(CO)NC(=O)[C@@H]1CCNC2=C(NC(=O)CCC(O)=O)C=C3C=C(O)C(O)=CC3=[N+]12)C(=O)NC(CCC(N)=O)C(=O)NC(CCCN(O)C=O)C(=O)NCC(O)=O', 'compound': 'pyoverdin', 'database_id': ['npatlas:14047'], 'mol_mass': 1174.47595599609, 'molecular_formula': 'C48H68N15O20+'}]",220664,Pseudomonas protegens Pf-5,mibig_json_2.0/BGC0000413.json
1109,"[{'chem_struct': 'CN1[C@H]2C[C@H]([C@@H]1[C@@H]3CC4=C([C@H]5N3[C@@H]2OC5)C(=CC=C4)OC)C(=O)O', 'compound': 'quinocarcin', 'database_id': ['pubchem:158486'], 'mol_mass': 330.15795718399994, 'molecular_formula': 'C18H22N2O4'}]",1182637,Streptomyces melanovinaceus,mibig_json_2.0/BGC0000414.json
1271,"[{'chem_struct': 'CC1C(=O)N(C2CSC(C(C(=O)N(C(C(=O)OCC(C(=O)N1)NC(=O)C3=NC4=CC=CC=C4N=C3)C(C)C)C)N(C(=O)C(NC(=O)C(COC(=O)C(N(C2=O)C)C(C)C)NC(=O)C5=NC6=CC=CC=C6N=C5)C)C)SC)C', 'compound': 'quinomycin', 'database_id': ['pubchem:3197'], 'mol_mass': 1100.420807488, 'molecular_formula': 'C51H64N12O12S2'}]",284637,Streptomyces griseovariabilis subsp. bandungensis,mibig_json_2.0/BGC0000415.json
667,"[{'chem_struct': ' CC(C)C[C@H](NC)C(=O)N(C)[C@@H](C(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)NCCc1ccccc1', 'compound': 'rhabdopeptide 1', 'mass_spec_ion_type': '[M+H]+', 'mol_mass': 573.4254052399999, 'molecular_formula': 'C32H55N5O4'}, {'chem_acts': ['Cytotoxic'], 'chem_struct': 'CN[C@H](C(C)C)C(=O)N(C)[C@H](CC(C)C)C(=O)N(C)[C@H](C(C)C)C(=O)N(C)[C@H](C(C)C)C(=O)NCCC1=CC=CC=C1', 'compound': 'rhabdopeptide 2', 'mass_spec_ion_type': '[M+H]+', 'mol_mass': 587.441055304, 'molecular_formula': 'C33H57N5O4'}, {'chem_struct': 'CN[C@H](CC(C)C)C(=O)N(C)[C@H](C(C)C)C(=O)N[C@H](C(C)C)C(=O)N(C)[C@H](C(C)C)C(=O)N(C)[C@H](C(C)C)C(=O)NCCC1=CC=CC=C1', 'compound': 'rhabdopeptide 3', 'mol_mass': 686.509469212, 'molecular_formula': 'C38H66N6O5'}, {'chem_struct': 'CN[C@H](C(C)C)C(=O)N(C)[C@H](CC(C)C)C(=O)N(C)[C@H](C(C)C)C(=O)N(C)[C@H](C(C)C)C(=O)N(C)[C@H](C(C)C)C(=O)NCCC1=CC=CC=C1', 'compound': 'rhabdopeptide 4', 'mol_mass': 700.5251192759999, 'molecular_formula': 'C39H68N6O5'}]",406817,Xenorhabdus nematophila ATCC 19061,mibig_json_2.0/BGC0000416.json
772,"[{'chem_struct': 'CC(OC(=O)[C@@H](N)CCCN(O)C=O)[C@H](NC(=O)C1=C(O)C(O)=CC=C1)C(=O)N[C@@H](CCCN(O)C=O)C(O)=O', 'compound': 'rhodochelin', 'database_id': ['npatlas:8134'], 'mol_mass': 571.212571496, 'molecular_formula': 'C23H33N5O12'}]",101510,Rhodococcus jostii RHA1,mibig_json_2.0/BGC0000417.json
1007,"[{'chem_struct': 'CC1C(C(CC(O1)OC2C3C(=O)NC(C4=CC(=CC(=C4C5=C(C=CC(=C5)C(C(=O)N3)NC(=O)C6C7=CC(=C(C(=C7)OC8=CC=C2C=C8)OC9C(C(C(C(O9)COC1C(C(C(C(O1)C)O)O)O)O)O)OC1C(C(C(C(O1)CO)O)O)OC1C(C(C(CO1)O)O)O)OC1=CC=C(C=C1)C(C1C(=O)NC(C2=CC(=C(C(=C2)O)C)OC2=C(C=CC(=C2)C(C(=O)N1)N)O)C(=O)N6)O)O)OC1C(C(C(C(O1)CO)O)O)O)O)C(=O)OC)N)O', 'compound': 'ristocetin', 'database_id': ['pubchem:16131418'], 'mol_mass': 2066.6615887999983, 'molecular_formula': 'C95H110N8O44'}]",31959,Amycolatopsis lurida,mibig_json_2.0/BGC0000418.json
1379,"[{'chem_acts': ['Antibacterial'], 'chem_moieties': [{'moiety': 'beta-hydroxytyrosine', 'subcluster': ['AIG79223.1', 'AIG79224.1', 'AIG79225.1']}], 'chem_struct': 'CC1C(C(CC(O1)OC2C3C(=O)NC(C4=CC(=CC(=C4C5=C(C=CC(=C5)C(C(=O)N3)NC(=O)C6C7=CC(=C(C(=C7)OC8=CC=C2C=C8)OC9C(C(C(C(O9)COC1C(C(C(C(O1)C)O)O)O)O)O)OC1C(C(C(C(O1)CO)O)O)OC1C(C(C(CO1)O)O)O)OC1=CC=C(C=C1)C(C1C(=O)NC(C2=CC(=C(C(=C2)O)C)OC2=C(C=CC(=C2)C(C(=O)N1)N)O)C(=O)N6)O)O)OC1C(C(C(C(O1)CO)O)O)O)O)C(=O)OC)N)O', 'chem_synonyms': ['Ristocetin a'], 'chem_targets': [{'target': 'Cell wall'}, {'target': 'specifically the D-alanyl-D-alanine terminus of peptidoglycan'}], 'compound': 'ristomycin A', 'database_id': ['pubchem:16131418'], 'mol_mass': 2066.6615887999983, 'molecular_formula': 'C95H110N8O44'}]",208439,Amycolatopsis japonica,mibig_json_2.0/BGC0000419.json
499,"[{'chem_synonyms': ['htd'], 'compound': 'histidyltryptophanyldiketopiperazine'}, {'chem_synonyms': ['dhtd'], 'compound': 'dehydrohistidyltryptophanyldiketopiperazine', 'mass_spec_ion_type': '[M+H]+', 'mol_mass': 322.1299, 'molecular_formula': 'C17H15N5O2'}, {'chem_acts': ['Antibacterial'], 'chem_struct': 'CC(C)(C=C)C12CC3N(C1NC1=CC=CC=C21)C(=O)C(CC1=CN=CN1)NC3=O', 'chem_synonyms': ['roquefortine d'], 'compound': 'roquefortine D', 'database_id': ['npatlas:10085'], 'mol_mass': 391.20082504000004, 'molecular_formula': 'C22H25N5O2'}, {'chem_acts': ['Antibacterial'], 'chem_struct': '[H][C@@]12NC3=C(C=CC=C3)[C@@]1(C[C@@H]1N2C(=O)\\C(NC1=O)=C/C1=CN=CN1)C(C)(C)C=C', 'chem_synonyms': ['Isoroquefortine C', 'Roquefortine'], 'chem_targets': [{'target': 'RNA synthesis'}], 'compound': 'roquefortine C', 'database_id': ['npatlas:16637', 'pubchem:5935070'], 'mol_mass': 389.18517497600004, 'molecular_formula': 'C22H23N5O2'}, {'chem_acts': ['Inhibitor'], 'chem_struct': 'CC(C)(C=C)C12C=C(C(=O)N\\3C1(NC4=CC=CC=C24)NC(=O)/C3=C\\C5=CN=CN5)O', 'chem_synonyms': ['glandicoline a'], 'compound': 'glandicoline A', 'database_id': ['pubchem:91820007'], 'mol_mass': 403.164439532, 'molecular_formula': 'C22H21N5O3'}, {'chem_acts': ['Inhibitor'], 'chem_struct': 'CC(C)(C=C)C12C=C(C(=O)N\\3C1(NC(=O)/C3=C\\C4=CN=CN4)N(C5=CC=CC=C25)O)O', 'chem_synonyms': ['glandicoline b'], 'compound': 'glandicoline B', 'database_id': ['pubchem:91820473'], 'mol_mass': 419.159354152, 'molecular_formula': 'C22H21N5O4'}, {'chem_struct': 'CON1C2=C(C=CC=C2)[C@]2(C=C(O)C(=O)N3\\C(=C\\C4=CNC=N4)C(=O)N[C@]123)C(C)(C)C=C', 'compound': 'meleagrine', 'database_id': ['npatlas:10351'], 'mol_mass': 433.17500421600005, 'molecular_formula': 'C23H23N5O4'}]",500485,Penicillium rubens Wisconsin 54-1255,mibig_json_2.0/BGC0000420.json
930,"[{'chem_struct': 'CC1=C(C(=C2[C@H]3[C@@H]4CC5=C([C@@H](N4C[C@H](N3C)CC2=C1)CNC(=O)[C@H](C)N)C(=O)C(=C(C5=O)C)OC)O)OC', 'compound': 'safracin A', 'database_id': ['pubchem:160293'], 'mol_mass': 524.2634848719999, 'molecular_formula': 'C28H36N4O6'}, {'chem_struct': 'CC1=C(OC)C(O)=C2[C@H]3[C@@H]4CC5=C(C(C(OC)=C(C)C5=O)=O)[C@H](CNC([C@@H](N)C)=O)N4C(O)[C@@H](CC2=C1)N3C', 'compound': 'safracin B', 'mol_mass': 540.2583994920001, 'molecular_formula': 'C28H36N4O7'}]",294,Pseudomonas fluorescens,mibig_json_2.0/BGC0000421.json
1045,"[{'chem_struct': 'CC1=C(C(=O)C2=C(C1=O)C[C@H]3[C@H]4C5=C(C[C@H](N4C)[C@@H](N3[C@H]2CNC(=O)C(=O)C)C#N)C(=O)C(=C(C5=O)OC)C)OC', 'compound': 'saframycin A', 'database_id': ['pubchem:100594', 'pubchem:3086522'], 'mol_mass': 562.20636392, 'molecular_formula': 'C29H30N4O8'}, {'chem_struct': 'CC1=C(C(=O)C2=C(C1=O)C[C@@H]3CN4[C@H]([C@H]2N3C)CC5=C([C@@H]4CNC(=O)C(=O)C)C(=O)C(=C(C5=O)C)OC)OC', 'compound': 'saframycin B', 'database_id': ['pubchem:171748'], 'mol_mass': 537.2111149519999, 'molecular_formula': 'C28H31N3O8'}]",1914,Streptomyces lavendulae,mibig_json_2.0/BGC0000422.json
1350,"[{'chem_struct': 'CN[C@@H](CCCN(O)C=O)C(=O)N[C@@H](CO)C(=O)N(O)CCC[C@H](NC)C(=O)N[C@@H](CCCN)C(=O)N[C@@H]1CCCN(O)C1=O', 'compound': 'scabichelin', 'database_id': ['npatlas:8731'], 'mol_mass': 647.360238768, 'molecular_formula': 'C26H49N9O10'}]",680198,Streptomyces scabiei 87.22,mibig_json_2.0/BGC0000423.json
1658,"[{'chem_acts': ['Siderophore'], 'chem_moieties': [{'moiety': 'Lipid'}], 'chem_struct': 'O=C(NC(C(O)C(O)=O)C(NC(CO)C(NC(C(O)C(O)=O)C(NC(C(C)O)C(NC(CO)C(NC1CCCN(O)C1=O)=O)=O)=O)=O)=O)CCCCCCCCCCCCC', 'compound': 'serobactin C', 'mass_spec_ion_type': 'M+Na+', 'mol_mass': 877.4280435560001, 'molecular_formula': 'C37H63N7O17'}, {'chem_acts': ['Siderophore'], 'chem_moieties': [{'moiety': 'Lipid'}], 'chem_struct': 'CCCCCCCCCCCC(NC(C(O)C(O)=O)C(NC(CO)C(NC(C(O)C(O)=O)C(NC(C(C)O)C(NC(CO)C(NC1CCCN(O)C1=O)=O)=O)=O)=O)=O)=O', 'compound': 'serobactin B', 'mass_spec_ion_type': 'M+Na+', 'mol_mass': 849.3967434280003, 'molecular_formula': 'C35H59N7O17'}, {'chem_acts': ['Siderophore'], 'chem_moieties': [{'moiety': 'Lipid'}], 'chem_struct': 'CCCCCCCCCC(NC(C(O)C(O)=O)C(NC(CO)C(NC(C(O)C(O)=O)C(NC(C(C)O)C(NC(CO)C(NC1CCCN(O)C1=O)=O)=O)=O)=O)=O)=O', 'compound': 'serobactin A', 'mass_spec_ion_type': 'M+Na+', 'mol_mass': 821.3654433000002, 'molecular_formula': 'C33H55N7O17'}]",757424,Herbaspirillum seropedicae SmR1,mibig_json_2.0/BGC0000424.json
1692,"[{'chem_acts': ['Antifungal', 'Surfactant'], 'chem_struct': 'O=C(N[C@@H]([C@@H](C)CC)C(N[C@@H](CCO)C(N[C@H](CCN)C(N[C@@H](CCCCN)C(O)=O)=O)=O)=O)[C@@H]([C@H](O)C)NC(/C(NC([C@@H](C(C)C)NC([C@H](CC(C)C)NC([C@@H](CCC(N)=O)NC([C@H](C(C)C)NC([C@@H](C(C)C)NC([C@@H](CC(C)C)NC([C@@H](CCC(N)=O)NC([C@@H](C(C)C)NC([C@@H](CC(C)C)NC([C@@H](CO)NC([C@]1(C(CC(O)CCCCC)=O)N(C(/C(N)=C/C)=O)CCC1)=O)=O)=O)=O)=O)=O)=O)=O)=O)=O)=O)=C\\C)=O', 'chem_synonyms': ['s-a'], 'compound': 'sessilin A', 'mass_spec_ion_type': '[M+2H]2+', 'mol_mass': 2045.250013495998, 'molecular_formula': 'C96H168N22O26'}]",658629,Pseudomonas sp. CMR12a,mibig_json_2.0/BGC0000425.json
153,"[{'chem_acts': ['Antibacterial'], 'chem_struct': 'O=C(NC(C)C(NC(CC1=CNC2=C1C=CC=C2)C(O)=O)=O)C(N)CC3=CC=CC=C3', 'compound': 'sevadicin', 'mass_spec_ion_type': '[M+H]+', 'mol_mass': 422.195405312, 'molecular_formula': 'C23H26N4O4'}]",1464,Paenibacillus larvae,mibig_json_2.0/BGC0000426.json
327,"[{'chem_acts': ['sunscreen'], 'chem_struct': 'O[C@](CC(NCC(O)=O)=C/1OC)(CO)CC1=N/[C@@H](CO)C(O)=O', 'compound': 'shinorine', 'mass_spec_ion_type': '[M+H]+', 'mol_mass': 332.12196559999995, 'molecular_formula': 'C13H20N2O8'}, {'chem_acts': ['Antioxidant', 'sunscreen'], 'chem_struct': 'OC1=C(OC)C(C[C@](O)(CO)C1)=O', 'compound': '4-deoxygadusol', 'mass_spec_ion_type': '[M+Na]+', 'mol_mass': 188.068473484, 'molecular_formula': 'C8H12O5'}, {'chem_acts': ['sunscreen'], 'chem_struct': 'O=C1C(OC)=C(NCC(O)=O)C[C@@](O)(CO)C1', 'compound': 'mycosporine glycine', 'mass_spec_ion_type': '[M+H]+', 'mol_mass': 245.0899372, 'molecular_formula': 'C10H15NO6'}]",240292,Trichormus variabilis ATCC 29413,mibig_json_2.0/BGC0000427.json
1536,"[{'chem_struct': 'CN[C@H]1[C@H](C)O[C@@H](OC2=CC3=C(N[C@H](O)[C@@H]4CC(\\C=C\\C)=CN4C3=O)C(O)=C2C)[C@H](O)[C@]1(C)O', 'compound': 'sibiromycin', 'database_id': ['npatlas:1741', 'pubchem:6437361'], 'mol_mass': 475.23185039599997, 'molecular_formula': 'C24H33N3O7'}]",457432,Streptosporangium sibiricum,mibig_json_2.0/BGC0000428.json
1813,"[{'chem_struct': 'C/C=C\\C1=CC=CC=C1/C=C/C(=N[C@H]2C(OC(=O)[C@@H](N=C([C@H](N=C(C(N=C([C@H](N=C([C@@H](N=C([C@@H]3CCCN3C(=O)[C@@H](N=C(CN=C([C@@H](N=C([C@@H](N=C2O)C)O)[C@H](C)C(=O)O)O)O)C(C4=CC=CC=C4)O)O)C(C5=CC=C(C=C5)OC)O)O)C6=CNC7=CC=CC=C76)O)O)O)CC(C)C)O)[C@H](C(C)C)O)C)O', 'compound': 'RP-1776', 'database_id': ['pubchem:101790016'], 'mol_mass': 1468.6550833439996, 'molecular_formula': 'C74H92N12O20'}]",1001349,Streptomyces sp. Acta 2897,mibig_json_2.0/BGC0000429.json
162,"[{'chem_acts': ['Inhibitor'], 'chem_moieties': [{'moiety': '(2S,4S)-4-methylproline', 'subcluster': ['NSP_49220', 'NSP_49210', 'NSP_49200']}], 'chem_struct': 'C[C@H]1C[C@H](N(C1)C(=O)[C@@H](CCC2=CC=C(C=C2)O)NC(=O)[C@@H](CC3=CC=C(C=C3)O)O)C(=O)NC(CCCN=C(N)N)C=O', 'chem_targets': [{'target': 'Trypsin'}], 'compound': 'spumigin E', 'database_id': ['pubchem:71449303'], 'mol_mass': 610.311497684, 'molecular_formula': 'C31H42N6O7'}]",313624,Nodularia spumigena CCY9414,mibig_json_2.0/BGC0000430.json
312,"[{'chem_acts': ['Antibacterial'], 'compound': 'stenothricin', 'mol_mass': -1}]",457431,Streptomyces filamentosus NRRL 15998,mibig_json_2.0/BGC0000431.json
1644,"[{'chem_struct': 'C1[C@H]([C@@H]2[C@@H](C(=O)N1)N=C(N2)N[C@H]3[C@@H]([C@@H]([C@H]([C@H](O3)CO)OC(=O)N)O)NC(=O)C[C@H](CCCNC(=O)C[C@H](CCCNC(=O)C[C@H](CCCNC(=O)C[C@H](CCCNC(=O)C[C@H](CCCNC(=O)C[C@H](CCCN)N)N)N)N)N)N)O', 'compound': 'streptothricin', 'database_id': ['pubchem:198906'], 'mol_mass': 1142.7247750679996, 'molecular_formula': 'C49H94N18O13'}]",1928,Streptomyces rochei,mibig_json_2.0/BGC0000432.json
1708,"[{'chem_acts': ['Surfactant'], 'chem_struct': '[H][C@@]1(CCC(O)=O)NC(=O)CC(CCCCCCCCCCC)OC(=O)[C@]([H])(CC(C)C)NC(=O)[C@@]([H])(CC(C)C)NC(=O)[C@]([H])(CC(O)=O)NC(=O)[C@@]([H])(NC(=O)[C@@]([H])(CC(C)C)NC(=O)[C@]([H])(CC(C)C)NC1=O)C(C)C', 'compound': 'surfactin', 'database_id': ['npatlas:18495', 'chemspider:391754'], 'mol_mass': 1021.6674859720001, 'molecular_formula': 'C52H91N7O13'}]",326423,Bacillus velezensis FZB42,mibig_json_2.0/BGC0000433.json
1028,"[{'chem_struct': 'CC1CC11N(C)C(=O)C2CSSCC(N(C)C(=O)C(C)NC(=O)C(COC1=O)NC(=O)C1=NC3=C(C=CC=C3)C=C1O)C(=O)N(C)C1(CC1C)C(=O)OCC(NC(=O)C1=NC3=C(C=CC=C3)C=C1O)C(=O)NC(C)C(=O)N2C', 'compound': 'SW-163C', 'database_id': ['npatlas:12323', 'pubchem:6857738'], 'mol_mass': 1112.3731886, 'molecular_formula': 'C52H60N10O14S2'}, {'chem_struct': '[H][C@]12CS[C@@H](SC)[C@]([H])(N(C)C(=O)[C@H](C)NC(=O)[C@@H](COC(=O)[C@@]3(C[C@@H]3C)N(C)C1=O)NC(=O)C1=C(O)C=C3C=CC=CC3=N1)C(=O)N(C)[C@]1(C[C@@H]1C)C(=O)OC[C@@H](NC(=O)C1=C(O)C=C3C=CC=CC3=N1)C(=O)N[C@@H](C)C(=O)N2C', 'compound': 'UK-63598', 'database_id': ['npatlas:10384'], 'mol_mass': 1126.3888386639999, 'molecular_formula': 'C53H62N10O14S2'}, {'chem_struct': 'CCSC1SCC2N(C)C(=O)C(C)NC(=O)C(COC(=O)C3(CC3C)N(C)C(=O)C1N(C)C(=O)C(C)NC(=O)C(COC(=O)C1(CC1C)N(C)C2=O)NC(=O)C1=C(O)C=C2C=CC=CC2=N1)NC(=O)C1=NC2=CC=CC=C2C=C1O', 'compound': 'SW-163E', 'database_id': ['npatlas:16133', 'pubchem:6857739'], 'mol_mass': 1140.404488728, 'molecular_formula': 'C54H64N10O14S2'}, {'chem_struct': '[H][C@]12CS[C@H](SC(C)C)[C@]([H])(N(C)C(=O)[C@H](C)NC(=O)[C@@H](COC(=O)[C@@]3(C[C@@H]3C)N(C)C1=O)NC(=O)C1=C(O)C=C3C=CC=CC3=N1)C(=O)N(C)[C@]1(C[C@@H]1C)C(=O)OC[C@@H](NC(=O)C1=C(O)C=C3C=CC=CC3=N1)C(=O)N[C@@H](C)C(=O)N2C', 'compound': 'SW-163F', 'database_id': ['npatlas:13657'], 'mol_mass': 1154.4201387919998, 'molecular_formula': 'C55H66N10O14S2'}, {'chem_struct': 'CCC(C)S[C@@H]1[C@H]2C(=O)N([C@]3(C[C@@H]3C)C(=O)OC[C@H](C(=O)N[C@H](C(=O)N([C@@H](CS1)C(=O)N([C@]4(C[C@@H]4C)C(=O)OC[C@H](C(=O)N[C@H](C(=O)N2C)C)NC(=O)C5=NC6=CC=CC=C6C=C5O)C)C)C)NC(=O)C7=NC8=CC=CC=C8C=C7O)C', 'compound': 'SW-163G', 'database_id': ['pubchem:101478663'], 'mol_mass': 1168.435788856, 'molecular_formula': 'C56H68N10O14S2'}]",497689,Streptomyces sp. SNA15896,mibig_json_2.0/BGC0000434.json
1358,[{'compound': 'syringafactin'}],223283,Pseudomonas syringae pv. tomato str. DC3000,mibig_json_2.0/BGC0000435.json
515,"[{'chem_struct': 'CC(C)C(NC(=O)NC(C(C)C)C(=O)NC1\\C=C/CCNC(=O)\\C=C/C(NC1=O)C(C)C)C(O)=O', 'compound': 'syringolin A', 'database_id': ['npatlas:10377', 'pubchem:24978526'], 'mol_mass': 493.29003396799993, 'molecular_formula': 'C24H39N5O6'}]",1144306,Rhizobium sp. AP16,mibig_json_2.0/BGC0000436.json
918,"[{'chem_struct': 'CCCCCCCCC[C@@H](CC(=O)N[C@H]1COC(=O)[C@@H](NC(=O)[C@@H](NC(=O)/C(=C/C)/NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](NC(=O)[C@H](NC1=O)CO)CCN)CCN)CCCN=C(N)N)CC2=CC=CC=C2)[C@@H](C(=O)O)O)[C@@H](CCl)O)O', 'compound': 'syringomycin', 'database_id': ['pubchem:11966095'], 'mol_mass': 1224.59056494, 'molecular_formula': 'C53H85ClN14O17'}]",205918,Pseudomonas syringae pv. syringae B728a,mibig_json_2.0/BGC0000437.json
